route_long_name,route_id,route_color,service_id,mean_duration,median_duration,standard_deviation,num_trips,percentage_duration
Atlantic City Rail Line,1,075AAA,1,97.02083333333333,96.0,2.383360610864088,48,2.456545186203054
Montclair-Boonton Line,2,E66859,4,104.35,100.0,13.378203010474676,20,12.82051079106342
Montclair-Boonton Line,3,E66859,5,48.5,51.0,7.958754434702627,80,16.409802958149747
Hudson-Bergen Light Rail,4,008080,8,31.118781725888326,31.0,8.169638326402128,985,26.25307892309179
Main/Bergen County Line,5,FFD411,3,62.083333333333336,67.5,9.54498750272339,168,15.374476514453782
Port Jervis Line,6,FFD411,4,138.87755102040816,137.0,13.468532234219795,49,9.698134893119324
Morris & Essex Line,7,08A652,16,83.19411764705882,89.0,21.55474578335114,170,25.908978174147595
Gladstone Branch,8,A4C9AA,4,73.29347826086956,80.0,22.961285163077907,92,31.327869420186378
Meadowlands Rail Line,9,C1AA72,18,16.209302325581394,13.0,5.226116374403079,43,32.24146400277366
Northeast Corridor,10,DD3439,7,81.64957264957265,88.0,18.057521937658947,234,22.115880526599987
North Jersey Coast Line,11,03A3DF,16,89.43382352941177,97.0,21.62430121530194,136,24.17910848705964
North Jersey Coast Line,12,03A3DF,16,49.16949152542373,40.0,26.728618617228832,59,54.36016885268876
Newark Light Rail,13,009AD1,23,20.193502824858758,20.0,8.260991145143144,708,40.90915388376125
Pascack Valley Line,14,94219A,1,69.01515151515152,72.0,11.405116833101271,66,16.525526036985376
Princeton Shuttle,15,DD3439,2,5.0,5.0,0.0,156,0.0
Raritan Valley Line,16,F2A537,4,70.97938144329896,64.0,14.963830963807432,97,21.08194050093422
Riverline Light Rail,17,00008B,8,64.72197309417041,67.0,10.037937571232325,223,15.50931946500941
